modelo,alpha,l1_ratio,rmse_train,rmse_val,r2_train,r2_val,rmse_test
Ridge + Polinomiales (GANADOR),1e-05,,,1.786815,,0.987605,1.754509986855416
Ridge (sin polinomiales),5e-05,,2.413589,2.413729,0.97738,0.97738,
Lineal (sin regularización),,,2.5251597770080743,2.5230916171372693,0.9750636735461665,0.9752855768619784,
ElasticNet,0.0001,0.15,2.664342828936627,2.6619391882178043,0.9722390092615022,0.9724906267238523,
Lasso,1e-05,,2.8381310222698106,2.835559336208918,0.968499341633934,0.9687851022994624,
